Id,SalePrice
2658,182829880.7859303
2718,207774385.7564982
2414,209812691.2369006
1989,134731664.3979558
625,182942634.68781617
333,100329939.89625834
1327,140583109.04372573
858,166299650.23941565
95,139373293.46734285
1568,173467707.77295703
2482,143754121.65809274
1364,134151406.65927567
2584,175455310.47563615
818,235775100.88318506
2673,189949453.16210514
2089,135910358.50758412
1297,178674744.56884092
790,155103004.96079126
2616,201818379.07550126
720,234678544.44426665
222,151164127.2707735
557,141625512.37759387
1148,181674803.1496052
2766,220171897.21871936
534,166244055.08951026
1452,125176712.81405495
630,194864715.21535408
2648,165643921.14311865
125,155718572.78207248
1904,76960457.93258896
1670,123280841.78152077
756,124283529.78065187
717,246656019.16559193
1032,172833459.67889392
852,193674074.12033695
1731,180113454.9765492
2639,152444645.37628248
2071,117930840.6785513
1267,119695566.04890391
1851,154905062.41495615
567,117345898.10880105
2439,193032714.76968506
1898,151209332.96679956
647,204566018.7395998
2256,151802223.98229274
979,104308158.16423966
1444,196054224.3594151
2485,131770042.19441816
157,127244610.80355531
88,150426642.80420896
2003,155691482.78805178
186,194119474.60877386
1425,187648928.9067906
2695,138950191.23446977
738,123988473.69480819
395,147341656.14456034
1353,186143611.12153253
1878,165385418.3803493
390,177995234.6270961
1456,199508762.2607768
1103,244608671.77564794
1387,192289793.9653647
2070,183075065.51179424
1199,203550152.32420656
2479,154258606.26720098
501,234928215.66709888
2362,128415088.95440978
1718,140878376.2117575
2188,96372919.15338664
1483,109240216.01440348
2557,96415525.12011854
437,332979427.4819869
2224,288056413.9095527
1628,161992041.3903141
397,151964520.9311006
587,254124035.88850293
971,238195132.49492943
2611,160837831.15469506
1887,108374390.85274968
2399,242485569.8380033
2148,169531911.91971457
304,148467264.1650945
1997,119676943.80797273
2817,149364640.05832314
1431,197165586.91970122
427,242451210.8362932
263,133933681.9636345
598,220682947.80507374
2895,231761443.5643668
687,149454360.5084103
1822,139362052.09324828
2191,162035448.3928901
179,142565034.49057558
1009,141465865.99777558
2010,132544540.64894928
1991,171956881.13111803
1411,192421750.8056778
1721,152999584.87250847
1144,173665703.08020362
593,176239040.37656695
575,243303298.88872936
1249,211313207.03600302
1604,129455885.63516062
1064,294195968.96741754
1923,182605895.9695338
1988,98131534.1669142
2325,152861894.63393942
114,262308346.76229426
2700,213945738.92581326
217,222360921.96875417
343,192977849.94868007
386,181212477.52653834
2005,153667775.2200223
2908,195960479.29204348
1814,232870227.74047652
2446,462620002.28202057
208,164995590.98680294
1679,103741202.11176045
822,218821215.06456915
6,188665043.56883124
1781,243545127.15584725
2397,199770666.81366318
2340,195311768.18915963
1618,191021314.55856603
2843,159622410.27304062
1061,249647483.12376532
